PDF Name,Page Number,UEN Number,Notes Page Content
HONG LEONG FINANCE LIMITED 2022 (196100003D).pdf,56,196100003D,principal activities of the Company are those relating to financing business and provision of corporate advisory Income tax expense 2
HOTEL GRAND CENTRAL LIMITED 2022 (196800243H).pdf,44,196800243H,"principal activities of the Company consist of owning, operating and managing hotels. "
HOTEL PROPERTIES LIMITED 2022 (198000348Z).pdf,19,198000348Z,"principal activities of the Company are those of a hotelier and an investment holding company. The Repayment of lease liabilities (9,687) (2,549) principal activities of subsidiaries, significant associates and jointly controlled entities are described in Notes Dividend paid (20,852) (20,839) 36, 37 and 38 respectively to the financial statements. Distribution to perpetual capital securities holders (10,499) (14,015) Net receipts from non-controlling shareholders^ 76,796 73 The consolidated financial statements of the Group and statement of financial position and statement of changes Additional borrowings 642,062 313,372 in equity of the Company for the year ended December 31, 2022 were authorised for issue by the Board of Directors on March 28, 2023. Repayment of borrowings (228,947) (103,913) Increase in deposits under pledge to bank (13,196) - Redemption of perpetual capital securities (150,000) - "
HOTEL ROYAL LIMITED 2022 (196800298G).pdf,120,196800298G,principal activity of the Company is that of a hotelier and investment holding. 
IFS CAPITAL LIMITED 2022 (198700827C).pdf,76,198700827C,"principal activities of the Company are those relating to the provision of commercial, alternative and structured finance businesses such as factoring services, working capital, asset based financing and the provision of alternative and structured financial solutions offered to clients to address either equity or debt capital requirements. "
INTRACO LIMITED 2022 (196800526Z).pdf,109,196800526Z,"principal activity of the Company is that of investment holding. The Group is primarily involved in the trading of plastics products, providing fire protection services and provision of mobile radio infrastructure services (Note 6). "
ISETAN (SINGAPORE) LIMITED 2022 (197001177H).pdf,69,197001177H,"principal activities of the Company are to carry on the business of operating department stores, operating supermarkets, to trade in general merchandise and to earn rental income from its investment properties. "
JACKSPEED CORPORATION LIMITED 2022 (199300300W).pdf,43,199300300W,principal activities of the Company are those of investment holding and the provision of management services. 
KHONG GUAN LIMITED 2023 (196000096G).pdf,53,196000096G,principal activities of the Company are the trading of wheat flour and other edible products and investment holding. 
KODA LTD 2023 (198001299R).pdf,91,198001299R,"principal activities of the Company are those of relating to the manufacturing and export of furniture and fixtures of wood (including upholstery), furniture design service and investment holding. "
KS ENERGY LIMITED 2019 (198300104G).pdf,70,198300104G,principal activities of the Company are those of investment holding. 
LEY CHOON GROUP HOLDINGS LIMITED 2023 (198700318G).pdf,114,198700318G,principal activity of the Company is that of an investment holding company. 
MANUFACTURING INTEGRATION TECHNOLOGY LTD. 2022 (199200075N).pdf,78,199200075N,"principal activities of the company are that of designing, developing, manufacturing and distributing automated equipment for the semiconductor and other industries and an investment holding company. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). "
MATEX INTERNATIONAL LIMITED 2022 (198904222M).pdf,110,198904222M,"principal activities of the Company are the formulation, manufacturing and sale of specialty chemicals focusing on dyestuff and auxiliaries for the textile industry. "
MEGACHEM LIMITED 2022 (198803293M).pdf,117,198803293M,principal activities of the Company consist of trading in chemicals and chemical-related products and investment holding. It is listed on Catalist which is a share market on Singapore Exchange Securities Trading Limited. 
META HEALTH LIMITED 2022 (198804700N).pdf,67,198804700N,principal activities of the Company consist of investment holding and metal stamping and manufacturing of tools and fixtures. 
METIS ENERGY LIMITED 2022 (199006289K).pdf,52,199006289K,principal activities of the Company are those of investment holding and the provision of management services. 
METRO HOLDINGS LTD 2023 (197301792W).pdf,95,197301792W,"principal activities of the Company are those of a management, property investment and holding company. The principal activities of the Group are those of management and holding companies, retailers and department store operators, property investment and developers. "
MIYOSHI LIMITED 2022 (198703979K).pdf,88,198703979K,"principal activities of the Company are those of designing and manufacturing of mould and precision pressed parts and trading in related products, and trading of commodities. "
MUN SIONG ENGINEERING LIMITED 2022 (196900250M).pdf,69,196900250M,"principal activities of the Company are those of mechanical engineering, provision of specialised services and investment holding. In March 2019, the Company established a branch office known as Mun Siong Engineering Limited, Taiwan branch in Kaohsiung, Republic of China ( Taiwan ). The following notes for the Company include the results of the branch office. "
